contract number,client enterprise,contract date
CSE0000000,Allianz,2017-3-11
CSE0000001,HypoVereinsbank,2020-9-3
CSE0000002,Nortel Networks,2020-5-11
CSE0000003,ENI,2021-9-25
CSE0000004,Dynegy,2018-11-15
CSE0000005,Repsol YPF,2018-11-19
CSE0000006,General Electric,2019-12-13
CSE0000007,Unilever,2018-10-10
CSE0000008,J.P. Morgan Chase,2019-7-29
CSE0000009,Baidu,2021-3-5
CSE0000010,Meiji Life Insurance,2023-1-6
CSE0000011,Ping An Insurance (Group) Company Of China,2024-7-21
CSE0000012,Chevron,2020-1-9
CSE0000013,Exxon Mobil,2018-4-19
CSE0000014,SK,2023-3-22
CSE0000015,Pemex,2022-1-31
CSE0000016,Fiat,2020-4-8
CSE0000017,WorldCom,2017-3-9
CSE0000018,Citigroup,2020-8-26
CSE0000019,HypoVereinsbank,2024-1-11
CSE0000020,Credit Suisse,2018-9-13
CSE0000021,DaimlerChrysler,2018-9-23
CSE0000022,Kroger,2021-5-22
CSE0000023,Mitsubishi Motors,2017-11-18
CSE0000024,Suez,2020-3-16
CSE0000025,U.S. Postal Service,2022-10-30
CSE0000026,BT,2016-4-22
CSE0000027,PDVSA,2017-9-13
CSE0000028,Intel,2019-2-20
CSE0000029,Santander Central Hispano Group,2021-11-17
CSE0000030,Procter & Gamble,2024-6-1
CSE0000031,Ford Motor,2017-6-3
CSE0000032,CGNU,2018-2-12
CSE0000033,Intel,2024-3-7
CSE0000034,Reliant Energy,2017-4-28
CSE0000035,Royal Dutch-Shell Group,2021-6-2
CSE0000036,Boeing,2020-10-30
CSE0000037,Sony,2018-12-20
CSE0000038,Ingram Micro,2021-7-30
CSE0000039,Dell Computer,2023-7-25
CSE0000040,Bilibili,2018-11-20
CSE0000041,Samsung,2021-8-12
CSE0000042,U.S. Postal Service,2020-6-18
CSE0000043,Intl. Business Machines,2018-12-7
CSE0000044,Future Bright Group,2025-1-3
CSE0000045,DaimlerChrysler,2022-8-25
CSE0000046,Motorola,2021-10-3
CSE0000047,Credit Suisse,2024-4-1
CSE0000048,Enron,2017-5-5
